Mes,Modelo,Correlacion,MAE,RMSE,BIAS
Enero,Europeo,"0,47","1,15","1,53","0,71"
Enero,GFS,"0,54","1,42","1,88","1,08"
Enero,Meteoblue,"0,65","1,37","1,82","1,22"
Febrero,Europeo,"0,45","1,15","1,47","0,6"
Febrero,GFS,"0,57","1,47","1,89","1,16"
Febrero,Meteoblue,"0,7","1,21","1,59","1,03"
Marzo,Europeo,"0,39","1,26","1,66","0,78"
Marzo,GFS,"0,53","1,45","1,91","1,12"
Marzo,Meteoblue,"0,59","1,46","2,09","1,29"
Abril,Europeo,"0,2","1,35","1,68","0,97"
Abril,GFS,"0,37","1,4","1,83","1,16"
Abril,Meteoblue,"0,51","1,59","2,09","1,43"
Mayo,Europeo,"0,16","1,34","1,75","0,99"
Mayo,GFS,"0,32","1,38","1,81","1,15"
Mayo,Meteoblue,"0,38","1,62","2,14","1,47"
Junio,Europeo,"0,3","1,39","1,74","0,93"
Junio,GFS,"0,44","1,5","2,03","1,2"
Junio,Meteoblue,"0,42","1,86","2,42","1,61"
Julio,Europeo,"0,28","1,27","1,63",1
Julio,GFS,"0,42","1,6","2,13","1,39"
Julio,Meteoblue,"0,44","1,52","2,11","1,35"
Agosto,Europeo,"0,35","1,41","1,8","1,07"
Agosto,GFS,"0,48","1,72","2,25","1,55"
Agosto,Meteoblue,"0,43","1,77","2,38","1,57"
Septiembre,Europeo,"0,06","1,43","1,83","0,96"
Septiembre,GFS,"0,34","1,6","2,03","1,3"
Septiembre,Meteoblue,"0,3","1,91","2,49","1,68"
Octubre,Europeo,"0,32","1,73","2,19","1,35"
Octubre,GFS,"0,49","1,92","2,46","1,67"
Octubre,Meteoblue,"0,54","1,99","2,62","1,84"
Noviembre,Europeo,"0,44","1,23","1,68","0,8"
Noviembre,GFS,"0,59","1,57","2,07","1,31"
Noviembre,Meteoblue,"0,67","1,39","1,89","1,2"
Diciembre,Europeo,"0,42","1,26","1,67","0,75"
Diciembre,GFS,"0,54","1,51","2,01","1,18"
Diciembre,Meteoblue,"0,58","1,59","2,16","1,41"
